logging_scheme,method,target_budget,logging_seeds,success_mean,success_std,success_ci_low,success_ci_high,intervention_mean,precision_mean,regret_mean
randomized,paired_label_oracle,0.1,5,0.5375,0.0,0.5375,0.5375,0.1,0.875,0.012500000000000067
randomized,paired_label_oracle,0.25,5,0.6625,0.0,0.6625,0.6625,0.25,0.85,0.03749999999999998
randomized,paired_label_oracle,0.5,5,0.8166666666666667,0.0,0.8166666666666667,0.8166666666666667,0.5,0.7333333333333333,0.1333333333333333
randomized,paired_label_oracle,0.75,5,0.9166666666666666,0.0,0.9166666666666666,0.9166666666666666,0.75,0.6277777777777778,0.07916666666666672
randomized,failure_risk,0.1,5,0.5166666666666667,0.0,0.5166666666666667,0.5166666666666667,0.1,0.6666666666666666,0.033333333333333326
randomized,failure_risk,0.25,5,0.6125,0.0,0.6125,0.6125,0.25,0.65,0.08749999999999991
randomized,failure_risk,0.5,5,0.7625,0.0,0.7625,0.7625,0.5,0.625,0.1875
randomized,failure_risk,0.75,5,0.8666666666666668,1.2412670766236366e-16,0.8666666666666668,0.8666666666666668,0.75,0.5555555555555556,0.12916666666666665
randomized,ensemble_uncertainty,0.1,5,0.5291666666666667,0.0,0.5291666666666667,0.5291666666666667,0.1,0.7916666666666666,0.02083333333333337
randomized,ensemble_uncertainty,0.25,5,0.6375,0.0,0.6375,0.6375,0.25,0.75,0.0625
randomized,ensemble_uncertainty,0.5,5,0.8125,0.0,0.8125,0.8125,0.5,0.725,0.13749999999999996
randomized,ensemble_uncertainty,0.75,5,0.8958333333333334,0.0,0.8958333333333334,0.8958333333333334,0.75,0.6166666666666667,0.09999999999999998
randomized,s_learner,0.1,5,0.5041666666666667,0.008333333333333345,0.49833333333333335,0.5108333333333334,0.1,0.5416666666666667,0.04583333333333337
randomized,s_learner,0.25,5,0.5975,0.016029486718059455,0.5850000000000001,0.6100000000000001,0.25,0.59,0.10249999999999992
randomized,s_learner,0.5,5,0.7408333333333333,0.011931517552730305,0.7316666666666667,0.7499999999999999,0.5,0.5866666666666667,0.20916666666666664
randomized,s_learner,0.75,5,0.8791666666666668,0.019982631347136355,0.8641666666666665,0.8933333333333333,0.75,0.581111111111111,0.11666666666666667
randomized,t_learner,0.1,5,0.5166666666666667,0.015590239111558086,0.5033333333333333,0.5283333333333333,0.1,0.6666666666666667,0.03333333333333337
randomized,t_learner,0.25,5,0.6166666666666668,0.02411632688081297,0.5975,0.6358333333333333,0.25,0.6666666666666666,0.08333333333333329
randomized,t_learner,0.5,5,0.7825,0.01777560750641798,0.7691666666666667,0.7958333333333334,0.5,0.6666666666666666,0.16749999999999993
randomized,t_learner,0.75,5,0.9025000000000001,0.01967619825519597,0.8925000000000001,0.9200000000000002,0.75,0.6100000000000001,0.09333333333333331
randomized,ipw_learner,0.1,5,0.49749999999999994,0.011257713405088562,0.4883333333333333,0.505,0.1,0.4916666666666667,0.05250000000000005
randomized,ipw_learner,0.25,5,0.5791666666666666,0.009771699499632157,0.5733333333333333,0.5875,0.25,0.5366666666666666,0.1208333333333333
randomized,ipw_learner,0.5,5,0.7116666666666666,0.015422296269434824,0.7016666666666668,0.725,0.5,0.5416666666666667,0.23833333333333329
randomized,ipw_learner,0.75,5,0.8208333333333334,0.019320038532282736,0.8066666666666666,0.8350000000000002,0.75,0.5177777777777777,0.17500000000000002
randomized,dr_learner,0.1,5,0.5133333333333334,0.008539125638299684,0.5066666666666666,0.5191666666666668,0.1,0.6333333333333334,0.036666666666666715
randomized,dr_learner,0.25,5,0.6241666666666666,0.009033118078616134,0.6166666666666666,0.6308333333333334,0.25,0.6966666666666667,0.07583333333333328
randomized,dr_learner,0.5,5,0.7808333333333334,0.017579185924774136,0.7683333333333333,0.7958333333333334,0.5,0.6633333333333333,0.1691666666666666
randomized,dr_learner,0.75,5,0.8858333333333335,0.023496453633119488,0.865,0.9025000000000001,0.75,0.5922222222222222,0.11000000000000001
randomized,reversibility_proxy,0.1,5,0.5183333333333333,0.008640183897219903,0.5116666666666666,0.525,0.1,0.6833333333333333,0.03166666666666671
randomized,reversibility_proxy,0.25,5,0.62,0.00903311807861617,0.6133333333333333,0.6266666666666667,0.25,0.68,0.07999999999999996
randomized,reversibility_proxy,0.5,5,0.7983333333333333,0.008640183897219909,0.7916666666666666,0.805,0.5,0.6966666666666667,0.15166666666666662
randomized,reversibility_proxy,0.75,5,0.9099999999999999,0.012004050242406604,0.9008333333333333,0.9191666666666667,0.75,0.6177777777777778,0.08583333333333334
uncertainty_selective,paired_label_oracle,0.1,5,0.5375,0.0,0.5375,0.5375,0.1,0.875,0.012500000000000067
uncertainty_selective,paired_label_oracle,0.25,5,0.6625,0.0,0.6625,0.6625,0.25,0.85,0.03749999999999998
uncertainty_selective,paired_label_oracle,0.5,5,0.8166666666666667,0.0,0.8166666666666667,0.8166666666666667,0.5,0.7333333333333333,0.1333333333333333
uncertainty_selective,paired_label_oracle,0.75,5,0.9166666666666666,0.0,0.9166666666666666,0.9166666666666666,0.75,0.6277777777777778,0.07916666666666672
uncertainty_selective,failure_risk,0.1,5,0.5166666666666667,0.0,0.5166666666666667,0.5166666666666667,0.1,0.6666666666666666,0.033333333333333326
uncertainty_selective,failure_risk,0.25,5,0.6125,0.0,0.6125,0.6125,0.25,0.65,0.08749999999999991
uncertainty_selective,failure_risk,0.5,5,0.7625,0.0,0.7625,0.7625,0.5,0.625,0.1875
uncertainty_selective,failure_risk,0.75,5,0.8666666666666668,1.2412670766236366e-16,0.8666666666666668,0.8666666666666668,0.75,0.5555555555555556,0.12916666666666665
uncertainty_selective,ensemble_uncertainty,0.1,5,0.5291666666666667,0.0,0.5291666666666667,0.5291666666666667,0.1,0.7916666666666666,0.02083333333333337
uncertainty_selective,ensemble_uncertainty,0.25,5,0.6375,0.0,0.6375,0.6375,0.25,0.75,0.0625
uncertainty_selective,ensemble_uncertainty,0.5,5,0.8125,0.0,0.8125,0.8125,0.5,0.725,0.13749999999999996
uncertainty_selective,ensemble_uncertainty,0.75,5,0.8958333333333334,0.0,0.8958333333333334,0.8958333333333334,0.75,0.6166666666666667,0.09999999999999998
uncertainty_selective,s_learner,0.1,5,0.5025000000000001,0.009592387027684456,0.4958333333333334,0.5108333333333334,0.1,0.525,0.04750000000000003
uncertainty_selective,s_learner,0.25,5,0.5925,0.013629522694830056,0.5816666666666668,0.6033333333333333,0.25,0.57,0.10749999999999996
uncertainty_selective,s_learner,0.5,5,0.7499999999999999,0.013176156917368244,0.7408333333333333,0.7608333333333335,0.5,0.6000000000000001,0.19999999999999993
uncertainty_selective,s_learner,0.75,5,0.8875,0.021850184336878135,0.8716666666666667,0.905020833333333,0.75,0.5888888888888889,0.10833333333333335
uncertainty_selective,t_learner,0.1,5,0.5233333333333333,0.012706625568314076,0.5141666666666667,0.5341666666666666,0.1,0.7333333333333333,0.026666666666666707
uncertainty_selective,t_learner,0.25,5,0.6300000000000001,0.01801812359203307,0.6166666666666666,0.6449999999999999,0.25,0.7233333333333333,0.06999999999999995
uncertainty_selective,t_learner,0.5,5,0.7866666666666666,0.03109684692840884,0.7649999999999999,0.8108333333333334,0.5,0.6766666666666666,0.1633333333333333
uncertainty_selective,t_learner,0.75,5,0.9,0.02375365468956535,0.8800000000000001,0.9174999999999999,0.75,0.6022222222222223,0.09583333333333337
uncertainty_selective,ipw_learner,0.1,5,0.49083333333333334,0.01425219281373922,0.48,0.5016666666666666,0.1,0.41666666666666663,0.05916666666666672
uncertainty_selective,ipw_learner,0.25,5,0.5766666666666667,0.007569125885243751,0.5708333333333334,0.5825208333333332,0.25,0.5233333333333333,0.1233333333333333
uncertainty_selective,ipw_learner,0.5,5,0.7066666666666667,0.019895560643855517,0.6908333333333334,0.7216666666666666,0.5,0.5283333333333333,0.24333333333333326
uncertainty_selective,ipw_learner,0.75,5,0.8174999999999999,0.02418820878949998,0.7958333333333334,0.8358333333333332,0.75,0.5033333333333333,0.17833333333333337
uncertainty_selective,dr_learner,0.1,5,0.5125,0.014433756729740649,0.5016666666666667,0.5241666666666667,0.1,0.6333333333333334,0.03750000000000005
uncertainty_selective,dr_learner,0.25,5,0.6258333333333334,0.019409691164753523,0.6116666666666667,0.6425000000000001,0.25,0.7066666666666667,0.07416666666666663
uncertainty_selective,dr_learner,0.5,5,0.775,0.027481054079735237,0.7566666666666666,0.7983333333333333,0.5,0.6566666666666667,0.17499999999999996
uncertainty_selective,dr_learner,0.75,5,0.8908333333333334,0.028927591596182987,0.8683333333333334,0.9133333333333333,0.75,0.5955555555555556,0.10500000000000002
uncertainty_selective,reversibility_proxy,0.1,5,0.5166666666666666,0.011410886614690972,0.5083333333333333,0.5250000000000001,0.1,0.6666666666666667,0.03333333333333337
uncertainty_selective,reversibility_proxy,0.25,5,0.6308333333333332,0.006972166887783982,0.6258333333333332,0.6366666666666666,0.25,0.7233333333333334,0.06916666666666663
