logging_scheme,delay_candidate_hops,method,target_budget,logging_seeds,success_mean,success_std,intervention_mean,precision_mean
randomized,0,paired_label_oracle,0.1,5,0.5375,0.0,0.1,0.875
randomized,0,paired_label_oracle,0.25,5,0.6625,0.0,0.25,0.85
randomized,0,paired_label_oracle,0.5,5,0.8166666666666667,0.0,0.5,0.7333333333333333
randomized,0,paired_label_oracle,0.75,5,0.9166666666666666,0.0,0.75,0.6277777777777778
randomized,0,t_learner,0.1,5,0.5166666666666667,0.0155902391115581,0.1,0.6666666666666667
randomized,0,t_learner,0.25,5,0.6166666666666667,0.02411632688081299,0.25,0.6666666666666667
randomized,0,t_learner,0.5,5,0.7825,0.01777560750641795,0.5,0.6666666666666667
randomized,0,t_learner,0.75,5,0.9025000000000001,0.019676198255195936,0.75,0.61
randomized,0,dr_learner,0.1,5,0.5133333333333333,0.008539125638299673,0.1,0.6333333333333334
randomized,0,dr_learner,0.25,5,0.6241666666666668,0.009033118078616153,0.25,0.6966666666666667
randomized,0,dr_learner,0.5,5,0.7808333333333334,0.017579185924774175,0.5,0.6633333333333333
randomized,0,dr_learner,0.75,5,0.8858333333333335,0.023496453633119464,0.75,0.5922222222222222
randomized,0,reversibility_proxy,0.1,5,0.5183333333333333,0.008640183897219928,0.1,0.6833333333333333
randomized,0,reversibility_proxy,0.25,5,0.62,0.009033118078616169,0.25,0.6799999999999999
randomized,0,reversibility_proxy,0.5,5,0.7983333333333333,0.008640183897219881,0.5,0.6966666666666667
randomized,0,reversibility_proxy,0.75,5,0.9099999999999999,0.012004050242406627,0.75,0.6177777777777778
randomized,1,paired_label_oracle,0.1,5,0.5125,0.0,0.1,0.625
randomized,1,paired_label_oracle,0.25,5,0.625,0.0,0.25,0.7166666666666667
randomized,1,paired_label_oracle,0.5,5,0.775,0.0,0.5,0.6583333333333333
randomized,1,paired_label_oracle,0.75,5,0.8791666666666667,0.0,0.75,0.5833333333333334
randomized,1,t_learner,0.1,5,0.5058333333333334,0.011636866703140793,0.1,0.5833333333333333
randomized,1,t_learner,0.25,5,0.5816666666666667,0.022745573439926968,0.25,0.5433333333333333
randomized,1,t_learner,0.5,5,0.7083333333333334,0.017677669529663674,0.5,0.5349999999999999
randomized,1,t_learner,0.75,5,0.8241666666666667,0.03205897343611888,0.75,0.5255555555555556
randomized,1,dr_learner,0.1,5,0.5016666666666667,0.006319062870042965,0.1,0.5333333333333334
randomized,1,dr_learner,0.25,5,0.5908333333333333,0.003486083443891963,0.25,0.5733333333333334
randomized,1,dr_learner,0.5,5,0.71,0.01003466214899359,0.5,0.5433333333333333
