logging_scheme,logging_seed,logged_episodes,target_budget,success_rate,intervention_rate,request_precision,pehe,helpful_auroc
randomized,101,60,0.1,0.525,0.1,0.75,0.7990875222750714,0.6155882682974725
randomized,101,60,0.25,0.6291666666666667,0.25,0.7166666666666667,0.7990875222750714,0.6155882682974725
randomized,101,60,0.5,0.7916666666666666,0.5,0.6833333333333333,0.7990875222750714,0.6155882682974725
randomized,101,60,0.75,0.9208333333333333,0.75,0.6277777777777778,0.7990875222750714,0.6155882682974725
randomized,101,120,0.1,0.5125,0.1,0.625,0.6506929513732332,0.6558029076780655
randomized,101,120,0.25,0.6208333333333333,0.25,0.6833333333333333,0.6506929513732332,0.6558029076780655
randomized,101,120,0.5,0.7375,0.5,0.5833333333333334,0.6506929513732332,0.6558029076780655
randomized,101,120,0.75,0.8916666666666667,0.75,0.5888888888888889,0.6506929513732332,0.6558029076780655
randomized,101,180,0.1,0.5041666666666667,0.1,0.5416666666666666,0.6517680703159204,0.681856993575897
randomized,101,180,0.25,0.6125,0.25,0.65,0.6517680703159204,0.681856993575897
randomized,101,180,0.5,0.7375,0.5,0.5833333333333334,0.6517680703159204,0.681856993575897
randomized,101,180,0.75,0.8916666666666667,0.75,0.5944444444444444,0.6517680703159204,0.681856993575897
randomized,101,240,0.1,0.5125,0.1,0.625,0.6570703519946453,0.6577245280107723
randomized,101,240,0.25,0.6041666666666666,0.25,0.6166666666666667,0.6570703519946453,0.6577245280107723
randomized,101,240,0.5,0.7458333333333333,0.5,0.5916666666666667,0.6570703519946453,0.6577245280107723
randomized,101,240,0.75,0.8958333333333334,0.75,0.5944444444444444,0.6570703519946453,0.6577245280107723
randomized,211,60,0.1,0.48333333333333334,0.1,0.4166666666666667,0.6280596858833557,0.6600564212977249
randomized,211,60,0.25,0.5833333333333334,0.25,0.5666666666666667,0.6280596858833557,0.6600564212977249
randomized,211,60,0.5,0.6916666666666667,0.5,0.5083333333333333,0.6280596858833557,0.6600564212977249
randomized,211,60,0.75,0.8041666666666667,0.75,0.49444444444444446,0.6280596858833557,0.6600564212977249
randomized,211,120,0.1,0.49583333333333335,0.1,0.4583333333333333,0.602967460545539,0.6908225096081017
randomized,211,120,0.25,0.5916666666666667,0.25,0.5666666666666667,0.602967460545539,0.6908225096081017
