logging_scheme,logging_seed,propensity,assistance_observed
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,False
randomized,101,0.5,True
randomized,101,0.5,True
randomized,101,0.5,True
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,True
randomized,211,0.5,False
randomized,211,0.5,True
randomized,211,0.5,False
