episode_id,policy_seed,task,disturbance,step,assistance_observed,outcome_observed,logging_propensity
50,27,bread,action_noise,90,False,1.0,0.5
151,127,cereal,action_noise,130,True,1.0,0.5
78,27,cereal,gripper_slip,110,True,0.0,0.5
144,127,cereal,object_shift,110,True,1.0,0.5
62,27,cereal,nominal,110,False,1.0,0.5
97,127,can,gripper_slip,30,False,0.0,0.5
238,227,cereal,gripper_slip,90,True,1.0,0.5
205,227,bread,object_shift,50,True,1.0,0.5
215,227,bread,action_delay,10,False,0.0,0.5
18,27,can,gripper_slip,90,True,1.0,0.5
25,27,milk,object_shift,30,False,1.0,0.5
182,227,milk,nominal,10,True,1.0,0.5
3,27,can,nominal,50,False,1.0,0.5
212,227,bread,action_delay,110,False,0.0,0.5
52,27,bread,action_delay,70,True,0.0,0.5
41,27,bread,nominal,50,True,1.0,0.5
13,27,can,action_delay,130,True,1.0,0.5
21,27,milk,nominal,90,True,1.0,0.5
187,227,milk,object_shift,70,False,1.0,0.5
145,127,cereal,object_shift,70,False,1.0,0.5
229,227,cereal,action_noise,50,True,1.0,0.5
74,27,cereal,action_delay,110,True,0.0,0.5
172,227,can,action_delay,50,True,1.0,0.5
63,27,cereal,nominal,50,False,1.0,0.5
152,127,cereal,action_delay,30,False,0.0,0.5
174,227,can,action_delay,50,True,1.0,0.5
225,227,cereal,object_shift,90,True,1.0,0.5
109,127,milk,action_noise,10,True,1.0,0.5
153,127,cereal,action_delay,110,False,0.0,0.5
110,127,milk,action_noise,10,True,1.0,0.5
180,227,milk,nominal,30,False,1.0,0.5
122,127,bread,nominal,10,False,1.0,0.5
193,227,milk,action_delay,30,True,1.0,0.5
164,227,can,object_shift,110,True,1.0,0.5
121,127,bread,nominal,90,True,1.0,0.5
194,227,milk,action_delay,110,True,0.0,0.5
163,227,can,nominal,50,False,1.0,0.5
128,127,bread,action_noise,110,True,1.0,0.5
156,127,cereal,gripper_slip,110,False,0.0,0.5
130,127,bread,action_noise,10,True,1.0,0.5
43,27,bread,nominal,50,True,1.0,0.5
106,127,milk,object_shift,50,False,0.0,0.5
184,227,milk,object_shift,110,True,1.0,0.5
224,227,cereal,object_shift,50,True,1.0,0.5
91,127,can,action_noise,10,False,1.0,0.5
6,27,can,object_shift,50,True,1.0,0.5
108,127,milk,action_noise,10,False,1.0,0.5
181,227,milk,nominal,50,True,1.0,0.5
77,27,cereal,gripper_slip,110,False,0.0,0.5
67,27,cereal,object_shift,110,False,1.0,0.5
75,27,cereal,action_delay,130,False,0.0,0.5
131,127,bread,action_noise,90,False,1.0,0.5
132,127,bread,action_delay,10,True,1.0,0.5
235,227,cereal,action_delay,90,False,0.0,0.5
231,227,cereal,action_noise,50,False,1.0,0.5
211,227,bread,action_noise,50,True,1.0,0.5
107,127,milk,object_shift,110,False,0.0,0.5
104,127,milk,object_shift,110,False,0.0,0.5
126,127,bread,object_shift,30,True,1.0,0.5
28,27,milk,action_noise,50,True,1.0,0.5
175,227,can,action_delay,110,True,1.0,0.5523973
11,27,can,action_noise,90,False,1.0,0.5550507
61,27,cereal,nominal,30,True,1.0,0.56311154
190,227,milk,action_noise,30,True,0.0,0.52554584
148,127,cereal,action_noise,110,False,1.0,0.5128999
27,27,milk,object_shift,10,True,1.0,0.5170925
1,27,can,nominal,130,True,1.0,0.58263904
15,27,can,action_delay,50,True,1.0,0.55780023
226,227,cereal,object_shift,50,False,1.0,0.553645
120,127,bread,nominal,10,True,1.0,0.5173715
46,27,bread,object_shift,10,True,1.0,0.49827814
84,127,can,object_shift,30,True,1.0,0.58639336
83,127,can,nominal,10,True,1.0,0.6068995
