episode_id,policy_seed,task,disturbance,step,assistance_observed,outcome_observed,logging_propensity
0,27,can,nominal,10,True,1.0,0.5
1,27,can,nominal,70,False,1.0,0.5
2,27,can,nominal,10,False,1.0,0.5
3,27,can,nominal,50,False,1.0,0.5
4,27,can,object_shift,90,True,1.0,0.5
5,27,can,object_shift,30,False,0.0,0.5
6,27,can,object_shift,90,True,1.0,0.5
7,27,can,object_shift,90,False,1.0,0.5
8,27,can,action_noise,70,False,1.0,0.5
9,27,can,action_noise,30,True,1.0,0.5
10,27,can,action_noise,50,True,1.0,0.5
11,27,can,action_noise,90,True,1.0,0.5
12,27,can,action_delay,110,False,1.0,0.5
13,27,can,action_delay,130,False,1.0,0.5
14,27,can,action_delay,130,False,0.0,0.5
15,27,can,action_delay,70,False,0.0,0.5
16,27,can,gripper_slip,110,True,1.0,0.5
17,27,can,gripper_slip,10,True,1.0,0.5
18,27,can,gripper_slip,110,True,1.0,0.5
19,27,can,gripper_slip,90,True,1.0,0.5
20,27,milk,nominal,70,True,1.0,0.5
21,27,milk,nominal,70,True,1.0,0.5
22,27,milk,nominal,50,False,1.0,0.5
23,27,milk,nominal,10,True,1.0,0.5
24,27,milk,object_shift,50,False,0.0,0.5
25,27,milk,object_shift,50,False,1.0,0.5
26,27,milk,object_shift,130,False,0.0,0.5
27,27,milk,object_shift,50,False,1.0,0.5
28,27,milk,action_noise,30,True,1.0,0.5
29,27,milk,action_noise,30,False,1.0,0.5
30,27,milk,action_noise,50,True,1.0,0.5
31,27,milk,action_noise,10,False,1.0,0.5
32,27,milk,action_delay,30,False,0.0,0.5
33,27,milk,action_delay,110,True,0.0,0.5
34,27,milk,action_delay,30,False,0.0,0.5
35,27,milk,action_delay,130,False,0.0,0.5
36,27,milk,gripper_slip,30,True,1.0,0.5
37,27,milk,gripper_slip,130,False,0.0,0.5
38,27,milk,gripper_slip,70,True,1.0,0.5
39,27,milk,gripper_slip,130,False,0.0,0.5
40,27,bread,nominal,10,False,1.0,0.5
41,27,bread,nominal,10,True,1.0,0.5
42,27,bread,nominal,70,True,1.0,0.5
43,27,bread,nominal,30,True,1.0,0.5
44,27,bread,object_shift,110,False,1.0,0.5
45,27,bread,object_shift,70,True,1.0,0.5
46,27,bread,object_shift,50,False,0.0,0.5
47,27,bread,object_shift,30,True,1.0,0.5
48,27,bread,action_noise,50,True,0.0,0.5
49,27,bread,action_noise,90,False,0.0,0.5
50,27,bread,action_noise,30,False,1.0,0.5
51,27,bread,action_noise,30,False,1.0,0.5
52,27,bread,action_delay,110,False,0.0,0.5
53,27,bread,action_delay,110,True,0.0,0.5
54,27,bread,action_delay,50,True,1.0,0.5
55,27,bread,action_delay,10,True,1.0,0.5
56,27,bread,gripper_slip,90,True,1.0,0.5
57,27,bread,gripper_slip,130,False,0.0,0.5
58,27,bread,gripper_slip,10,True,1.0,0.5
59,27,bread,gripper_slip,130,True,0.0,0.5
60,27,cereal,nominal,30,False,1.0,0.5
61,27,cereal,nominal,10,True,1.0,0.5
62,27,cereal,nominal,50,False,1.0,0.5
63,27,cereal,nominal,70,False,1.0,0.5
64,27,cereal,object_shift,30,True,1.0,0.5
65,27,cereal,object_shift,110,True,1.0,0.5
66,27,cereal,object_shift,70,True,0.0,0.5
67,27,cereal,object_shift,130,True,1.0,0.5
68,27,cereal,action_noise,10,False,1.0,0.5
69,27,cereal,action_noise,90,True,1.0,0.5
70,27,cereal,action_noise,50,True,1.0,0.5
71,27,cereal,action_noise,90,False,1.0,0.5
72,27,cereal,action_delay,50,False,1.0,0.5
73,27,cereal,action_delay,50,False,0.0,0.5
74,27,cereal,action_delay,10,True,1.0,0.5
75,27,cereal,action_delay,90,False,0.0,0.5
76,27,cereal,gripper_slip,110,False,0.0,0.5
77,27,cereal,gripper_slip,130,True,1.0,0.5
78,27,cereal,gripper_slip,70,True,0.0,0.5
79,27,cereal,gripper_slip,30,True,1.0,0.5
80,127,can,nominal,30,True,1.0,0.5
81,127,can,nominal,30,False,1.0,0.5
82,127,can,nominal,90,True,0.0,0.5
83,127,can,nominal,50,False,1.0,0.5
84,127,can,object_shift,130,True,1.0,0.5
85,127,can,object_shift,50,False,1.0,0.5
86,127,can,object_shift,70,False,0.0,0.5
87,127,can,object_shift,130,True,1.0,0.5
88,127,can,action_noise,50,False,1.0,0.5
89,127,can,action_noise,70,True,1.0,0.5
90,127,can,action_noise,110,False,0.0,0.5
91,127,can,action_noise,130,False,1.0,0.5
92,127,can,action_delay,110,True,1.0,0.5
93,127,can,action_delay,70,True,0.0,0.5
94,127,can,action_delay,130,True,1.0,0.5
95,127,can,action_delay,50,False,0.0,0.5
96,127,can,gripper_slip,70,True,1.0,0.5
97,127,can,gripper_slip,10,False,0.0,0.5
98,127,can,gripper_slip,70,True,1.0,0.5
99,127,can,gripper_slip,50,True,1.0,0.5
100,127,milk,nominal,10,True,1.0,0.5
101,127,milk,nominal,90,True,1.0,0.5
102,127,milk,nominal,10,False,1.0,0.5
103,127,milk,nominal,50,True,0.0,0.5
104,127,milk,object_shift,90,True,0.0,0.5
105,127,milk,object_shift,50,False,0.0,0.5
106,127,milk,object_shift,50,False,0.0,0.5
107,127,milk,object_shift,130,False,0.0,0.5
108,127,milk,action_noise,50,True,1.0,0.5
109,127,milk,action_noise,30,True,1.0,0.5
110,127,milk,action_noise,10,True,1.0,0.5
111,127,milk,action_noise,10,False,0.0,0.5
112,127,milk,action_delay,50,False,0.0,0.5
113,127,milk,action_delay,90,False,0.0,0.5
114,127,milk,action_delay,70,False,0.0,0.5
115,127,milk,action_delay,50,True,1.0,0.5
116,127,milk,gripper_slip,30,True,1.0,0.5
117,127,milk,gripper_slip,50,True,0.0,0.5
118,127,milk,gripper_slip,130,False,0.0,0.5
119,127,milk,gripper_slip,10,True,1.0,0.5
120,127,bread,nominal,50,True,1.0,0.5
121,127,bread,nominal,70,False,1.0,0.5
122,127,bread,nominal,10,True,1.0,0.5
123,127,bread,nominal,50,True,0.0,0.5
124,127,bread,object_shift,70,True,1.0,0.5
125,127,bread,object_shift,110,True,1.0,0.5
126,127,bread,object_shift,70,False,1.0,0.5
127,127,bread,object_shift,50,False,0.0,0.5
128,127,bread,action_noise,70,True,1.0,0.5
129,127,bread,action_noise,50,False,1.0,0.5
130,127,bread,action_noise,30,True,1.0,0.5
131,127,bread,action_noise,90,True,1.0,0.5
132,127,bread,action_delay,90,False,1.0,0.5
133,127,bread,action_delay,70,False,0.0,0.5
134,127,bread,action_delay,110,False,0.0,0.5
135,127,bread,action_delay,70,True,1.0,0.5
136,127,bread,gripper_slip,110,True,1.0,0.5
137,127,bread,gripper_slip,50,False,0.0,0.5
138,127,bread,gripper_slip,130,False,0.0,0.5
139,127,bread,gripper_slip,30,False,0.0,0.5
140,127,cereal,nominal,10,True,1.0,0.5
141,127,cereal,nominal,90,True,1.0,0.5
142,127,cereal,nominal,10,True,1.0,0.5
143,127,cereal,nominal,70,False,1.0,0.5
144,127,cereal,object_shift,70,True,1.0,0.5
145,127,cereal,object_shift,90,False,1.0,0.5
146,127,cereal,object_shift,50,False,0.0,0.5
147,127,cereal,object_shift,70,False,0.0,0.5
148,127,cereal,action_noise,10,True,1.0,0.5
149,127,cereal,action_noise,50,False,1.0,0.5
150,127,cereal,action_noise,10,True,1.0,0.5
151,127,cereal,action_noise,90,True,1.0,0.5
152,127,cereal,action_delay,110,False,0.0,0.5
153,127,cereal,action_delay,110,True,0.0,0.5
154,127,cereal,action_delay,130,False,1.0,0.5
155,127,cereal,action_delay,130,False,0.0,0.5
156,127,cereal,gripper_slip,110,True,0.0,0.5
157,127,cereal,gripper_slip,130,False,0.0,0.5
158,127,cereal,gripper_slip,130,True,1.0,0.5
159,127,cereal,gripper_slip,30,True,1.0,0.5
160,227,can,nominal,10,True,1.0,0.5
161,227,can,nominal,50,True,1.0,0.5
162,227,can,nominal,90,False,1.0,0.5
163,227,can,nominal,10,False,1.0,0.5
164,227,can,object_shift,90,False,0.0,0.5
165,227,can,object_shift,70,False,1.0,0.5
166,227,can,object_shift,110,False,1.0,0.5
167,227,can,object_shift,50,False,1.0,0.5
168,227,can,action_noise,110,False,1.0,0.5
169,227,can,action_noise,30,True,1.0,0.5
170,227,can,action_noise,50,False,0.0,0.5
171,227,can,action_noise,110,False,1.0,0.5
172,227,can,action_delay,30,False,0.0,0.5
173,227,can,action_delay,30,False,0.0,0.5
174,227,can,action_delay,30,False,0.0,0.5
175,227,can,action_delay,90,True,0.0,0.5
176,227,can,gripper_slip,10,True,1.0,0.5
177,227,can,gripper_slip,10,False,1.0,0.5
178,227,can,gripper_slip,30,False,0.0,0.5
179,227,can,gripper_slip,70,False,0.0,0.5
180,227,milk,nominal,10,True,1.0,0.5
181,227,milk,nominal,50,False,1.0,0.5
182,227,milk,nominal,70,True,1.0,0.5
183,227,milk,nominal,30,False,1.0,0.5
184,227,milk,object_shift,130,False,0.0,0.5
185,227,milk,object_shift,30,True,0.0,0.5
186,227,milk,object_shift,30,False,1.0,0.5
187,227,milk,object_shift,10,True,1.0,0.5
188,227,milk,action_noise,50,False,1.0,0.5
189,227,milk,action_noise,10,False,1.0,0.5
190,227,milk,action_noise,10,False,1.0,0.5
191,227,milk,action_noise,10,True,1.0,0.5
192,227,milk,action_delay,70,False,1.0,0.5
193,227,milk,action_delay,130,False,0.0,0.5
194,227,milk,action_delay,130,True,0.0,0.5
195,227,milk,action_delay,50,False,0.0,0.5
196,227,milk,gripper_slip,130,False,0.0,0.5
197,227,milk,gripper_slip,130,True,1.0,0.5
