episode_id,policy_seed,task,disturbance,step,assistance_observed,outcome_observed,logging_propensity
0,27,can,nominal,110,True,1.0,0.4295994
1,27,can,nominal,90,True,1.0,0.4192292
2,27,can,nominal,50,False,1.0,0.42254797
3,27,can,nominal,90,False,1.0,0.41931486
4,27,can,object_shift,10,True,1.0,0.41928014
5,27,can,object_shift,90,True,1.0,0.57991225
6,27,can,object_shift,90,False,1.0,0.42595714
7,27,can,object_shift,130,True,1.0,0.42231557
8,27,can,action_noise,30,True,1.0,0.5162288
9,27,can,action_noise,30,True,1.0,0.4212576
10,27,can,action_noise,70,False,1.0,0.42010713
11,27,can,action_noise,10,False,1.0,0.41928318
12,27,can,action_delay,90,True,1.0,0.42176908
13,27,can,action_delay,90,False,1.0,0.4284363
14,27,can,action_delay,110,True,1.0,0.9
15,27,can,action_delay,110,False,0.0,0.43430027
16,27,can,gripper_slip,110,False,0.0,0.4227104
17,27,can,gripper_slip,30,False,0.0,0.4223708
18,27,can,gripper_slip,90,True,1.0,0.74385
19,27,can,gripper_slip,10,False,0.0,0.43873256
20,27,milk,nominal,10,True,1.0,0.42374015
21,27,milk,nominal,50,False,1.0,0.44476
22,27,milk,nominal,70,False,1.0,0.4204126
23,27,milk,nominal,90,True,1.0,0.5462024
24,27,milk,object_shift,110,True,1.0,0.66791916
25,27,milk,object_shift,30,True,1.0,0.4808132
26,27,milk,object_shift,50,False,0.0,0.45364758
27,27,milk,object_shift,10,True,1.0,0.4210958
28,27,milk,action_noise,30,True,1.0,0.42290553
29,27,milk,action_noise,70,False,1.0,0.4201496
30,27,milk,action_noise,50,False,1.0,0.42188767
31,27,milk,action_noise,70,False,1.0,0.42038462
32,27,milk,action_delay,70,False,0.0,0.4650184
33,27,milk,action_delay,70,True,1.0,0.9
34,27,milk,action_delay,110,False,0.0,0.48221928
35,27,milk,action_delay,90,False,0.0,0.4476967
36,27,milk,gripper_slip,70,False,0.0,0.45010284
37,27,milk,gripper_slip,110,False,0.0,0.49250174
38,27,milk,gripper_slip,130,True,0.0,0.59451723
39,27,milk,gripper_slip,30,False,0.0,0.42002407
40,27,bread,nominal,50,False,1.0,0.4242191
41,27,bread,nominal,70,True,0.0,0.42015192
42,27,bread,nominal,90,True,0.0,0.42434993
43,27,bread,nominal,10,False,1.0,0.42228422
44,27,bread,object_shift,30,False,1.0,0.42039382
45,27,bread,object_shift,90,True,1.0,0.8362007
46,27,bread,object_shift,70,True,0.0,0.6068755
