method,target_budget,episodes,success_rate,intervention_rate,matched_oracle_success_rate,regret_to_matched_oracle,request_precision,nominal_false_alarm_rate
never_help,0.0,480,0.4875,0.0,0.4875,0.0,,0.0
always_help,1.0,480,0.9895833333333334,1.0,0.9979166666666667,0.008333333333333304,0.50625,1.0
oracle_value,,480,0.9979166666666667,0.5104166666666666,0.9979166666666667,0.0,1.0,0.07291666666666667
value_gate,0.1,480,0.5833333333333334,0.09791666666666667,0.5854166666666667,0.002083333333333326,0.9787234042553191,0.020833333333333332
value_gate,0.25,480,0.7145833333333333,0.2520833333333333,0.7395833333333334,0.025000000000000022,0.9008264462809917,0.052083333333333336
value_gate,0.5,480,0.9208333333333333,0.5416666666666666,0.9979166666666667,0.07708333333333339,0.8,0.15625
value_gate,0.75,480,0.9625,0.8208333333333333,0.9979166666666667,0.03541666666666665,0.5888324873096447,0.6979166666666666
risk_gate,0.1,480,0.5583333333333333,0.10208333333333333,0.5895833333333333,0.03125,0.6938775510204082,0.0625
risk_gate,0.25,480,0.6375,0.25,0.7375,0.10000000000000009,0.6,0.16666666666666666
risk_gate,0.5,480,0.775,0.5104166666666666,0.9979166666666667,0.22291666666666665,0.5673469387755102,0.3541666666666667
risk_gate,0.75,480,0.8875,0.7416666666666667,0.9979166666666667,0.11041666666666672,0.5421348314606742,0.5729166666666666
uncertainty_gate,0.1,480,0.58125,0.10416666666666667,0.5916666666666667,0.01041666666666663,0.9,0.020833333333333332
uncertainty_gate,0.25,480,0.6708333333333333,0.24791666666666667,0.7354166666666667,0.06458333333333344,0.7394957983193278,0.03125
uncertainty_gate,0.5,480,0.84375,0.5020833333333333,0.9895833333333334,0.14583333333333337,0.7095435684647303,0.09375
uncertainty_gate,0.75,480,0.9166666666666666,0.7458333333333333,0.9979166666666667,0.08125000000000004,0.5949720670391061,0.4791666666666667
