policy_seed,method,target_budget,success_rate,intervention_rate
27,always_help,1.0,0.9875,1.0
27,never_help,0.0,0.55,0.0
27,oracle_value,,1.0,0.45
27,risk_gate,0.1,0.625,0.1
27,risk_gate,0.25,0.7,0.2375
27,risk_gate,0.5,0.8375,0.4875
27,risk_gate,0.75,0.925,0.725
27,uncertainty_gate,0.1,0.7,0.15
27,uncertainty_gate,0.25,0.75,0.25
27,uncertainty_gate,0.5,0.8625,0.4625
27,uncertainty_gate,0.75,0.9375,0.7125
27,value_gate,0.1,0.6375,0.0875
27,value_gate,0.25,0.8125,0.2875
27,value_gate,0.5,0.9625,0.525
27,value_gate,0.75,1.0,0.7375
127,always_help,1.0,1.0,1.0
127,never_help,0.0,0.475,0.0
127,oracle_value,,1.0,0.525
127,risk_gate,0.1,0.5375,0.0875
127,risk_gate,0.25,0.6125,0.2375
127,risk_gate,0.5,0.7625,0.5375
127,risk_gate,0.75,0.9,0.7125
127,uncertainty_gate,0.1,0.5875,0.1125
127,uncertainty_gate,0.25,0.7125,0.2875
127,uncertainty_gate,0.5,0.875,0.5375
127,uncertainty_gate,0.75,0.9375,0.825
127,value_gate,0.1,0.625,0.15
127,value_gate,0.25,0.7375,0.3
127,value_gate,0.5,0.9625,0.5625
127,value_gate,0.75,0.9875,0.875
227,always_help,1.0,1.0,1.0
227,never_help,0.0,0.55,0.0
227,oracle_value,,1.0,0.45
227,risk_gate,0.1,0.625,0.1125
227,risk_gate,0.25,0.6875,0.2875
227,risk_gate,0.5,0.8,0.5625
227,risk_gate,0.75,0.8875,0.8125
227,uncertainty_gate,0.1,0.65,0.125
227,uncertainty_gate,0.25,0.75,0.325
227,uncertainty_gate,0.5,0.85,0.4625
227,uncertainty_gate,0.75,0.925,0.7375
227,value_gate,0.1,0.625,0.0875
227,value_gate,0.25,0.7375,0.2125
227,value_gate,0.5,0.925,0.5
227,value_gate,0.75,0.925,0.8125
327,always_help,1.0,0.9833333333333333,1.0
327,never_help,0.0,0.4166666666666667,0.0
327,oracle_value,,0.9916666666666667,0.575
327,risk_gate,0.1,0.475,0.1
327,risk_gate,0.25,0.5833333333333334,0.25833333333333336
327,risk_gate,0.5,0.775,0.5666666666666667
327,risk_gate,0.75,0.9166666666666666,0.7916666666666666
327,uncertainty_gate,0.1,0.5166666666666667,0.125
327,uncertainty_gate,0.25,0.65,0.31666666666666665
327,uncertainty_gate,0.5,0.8166666666666667,0.5166666666666667
327,uncertainty_gate,0.75,0.9083333333333333,0.775
327,value_gate,0.1,0.5416666666666666,0.125
327,value_gate,0.25,0.675,0.3
327,value_gate,0.5,0.9166666666666666,0.6333333333333333
327,value_gate,0.75,0.95,0.875
427,always_help,1.0,0.9833333333333333,1.0
427,never_help,0.0,0.48333333333333334,0.0
427,oracle_value,,1.0,0.5166666666666667
427,risk_gate,0.1,0.5666666666666667,0.10833333333333334
427,risk_gate,0.25,0.6333333333333333,0.23333333333333334
427,risk_gate,0.5,0.725,0.4166666666666667
427,risk_gate,0.75,0.825,0.675
427,uncertainty_gate,0.1,0.5166666666666667,0.03333333333333333
427,uncertainty_gate,0.25,0.5583333333333333,0.1
427,uncertainty_gate,0.5,0.8333333333333334,0.5166666666666667
427,uncertainty_gate,0.75,0.8916666666666667,0.6916666666666667
427,value_gate,0.1,0.5333333333333333,0.05
427,value_gate,0.25,0.6583333333333333,0.175
427,value_gate,0.5,0.8666666666666667,0.475
427,value_gate,0.75,0.9583333333333334,0.7916666666666666
