method,target_budget,episodes,success_rate,intervention_rate,matched_oracle_success_rate,regret_to_matched_oracle,request_precision,nominal_false_alarm_rate
never_help,0.0,240,0.45,0.0,0.45,0.0,,0.0
always_help,1.0,240,0.9833333333333333,1.0,0.9958333333333333,0.012500000000000067,0.5375,1.0
oracle_value,,240,0.9958333333333333,0.5458333333333333,0.9958333333333333,0.0,1.0,0.10416666666666667
value_gate,0.1,240,0.4875,0.04583333333333333,0.49583333333333335,0.00833333333333336,0.8181818181818182,0.020833333333333332
value_gate,0.25,240,0.6625,0.23333333333333334,0.6833333333333333,0.02083333333333337,0.9107142857142857,0.0625
value_gate,0.5,240,0.8958333333333334,0.5458333333333333,0.9958333333333333,0.09999999999999998,0.816793893129771,0.10416666666666667
value_gate,0.75,240,0.95,0.8708333333333333,0.9958333333333333,0.04583333333333339,0.5789473684210527,0.6875
risk_gate,0.1,240,0.5208333333333334,0.10416666666666667,0.5541666666666667,0.033333333333333326,0.68,0.0625
risk_gate,0.25,240,0.6041666666666666,0.24583333333333332,0.6958333333333333,0.09166666666666667,0.6271186440677966,0.14583333333333334
risk_gate,0.5,240,0.7375,0.4583333333333333,0.9083333333333333,0.17083333333333328,0.6272727272727273,0.3541666666666667
risk_gate,0.75,240,0.8666666666666667,0.7541666666666667,0.9958333333333333,0.12916666666666665,0.5524861878453039,0.6458333333333334
uncertainty_gate,0.1,240,0.49166666666666664,0.04583333333333333,0.49583333333333335,0.004166666666666707,0.9090909090909091,0.020833333333333332
uncertainty_gate,0.25,240,0.5833333333333334,0.19166666666666668,0.6416666666666667,0.05833333333333335,0.6956521739130435,0.041666666666666664
uncertainty_gate,0.5,240,0.8166666666666667,0.5208333333333334,0.9708333333333333,0.15416666666666667,0.704,0.125
uncertainty_gate,0.75,240,0.9,0.7375,0.9958333333333333,0.09583333333333333,0.6271186440677966,0.4166666666666667
