condition,task,disturbance,episode,seed,success,disturbance_fired,recovered,steps,total_reward,trigger_step,final_can_x,final_can_y,final_can_z,training_seed,budget
baseline,can,nominal,0,400027,True,False,False,122,52.20603843375461,,0.1881636828184127,0.3997726142406463,0.8600578904151917,27,0
baseline,can,nominal,1,400028,True,False,False,105,38.6128078271764,,0.1757660955190658,0.3966751396656036,0.8603196144104004,27,0
baseline,can,nominal,2,400029,True,False,False,144,47.82944004218879,,0.1673505157232284,0.3950593173503876,0.8614498972892761,27,0
baseline,can,nominal,3,400030,True,False,False,118,48.945445146200186,,0.1867534071207046,0.4006359279155731,0.8600643277168274,27,0
baseline,can,nominal,4,400031,True,False,False,139,45.79368224101396,,0.1804376989603042,0.3960775434970855,0.860161304473877,27,0
baseline,can,nominal,5,400032,True,False,False,122,52.208799620239304,,0.1732115000486374,0.3940315246582031,0.8615825772285461,27,0
baseline,can,nominal,6,400033,True,False,False,129,44.970693002942575,,0.1868147701025009,0.3925327062606811,0.8604586124420166,27,0
baseline,can,nominal,7,400034,True,False,False,122,44.686618301793594,,0.1925248801708221,0.3873478770256042,0.8602524399757385,27,0
baseline,can,object_shift,0,400027,False,True,False,260,0.350197940305161,14.0,-0.2452756464481353,-0.2299274653196334,0.3435512781143188,27,0
baseline,can,object_shift,1,400028,True,True,True,135,50.450834178870586,14.0,0.1770482063293457,0.3913394808769226,0.8600538969039917,27,0
baseline,can,object_shift,2,400029,False,True,False,260,5.085192871320798,14.0,0.0884175673127174,-0.1691700518131256,0.8436402678489685,27,0
baseline,can,object_shift,3,400030,False,True,False,260,5.327854096375188,14.0,0.0515126511454582,-0.0552105531096458,0.852743923664093,27,0
baseline,can,object_shift,4,400031,True,True,True,150,51.2059226304313,14.0,0.2003896981477737,0.4112070500850677,0.8601552844047546,27,0
baseline,can,object_shift,5,400032,False,True,False,260,5.779587087967741,14.0,0.021542266011238,-0.1390848904848098,0.843654215335846,27,0
baseline,can,object_shift,6,400033,True,True,True,128,43.68878119741837,14.0,0.1786283105611801,0.3959970772266388,0.8602325916290283,27,0
baseline,can,object_shift,7,400034,True,True,True,133,46.04412857464908,14.0,0.1841282695531845,0.392044723033905,0.8603359460830688,27,0
baseline,can,action_noise,0,400027,True,True,True,97,37.453231729502136,8.0,0.1852603405714035,0.3595535457134247,0.8721569776535034,27,0
baseline,can,action_noise,1,400028,True,True,True,113,42.5283131437123,8.0,0.1556067913770675,0.4171442985534668,0.8600768446922302,27,0
baseline,can,action_noise,2,400029,False,True,False,260,4.6981076719918935,8.0,0.2132033556699752,-0.2757769823074341,0.8600536584854126,27,0
baseline,can,action_noise,3,400030,True,True,True,94,37.35014937152559,8.0,0.1837044656276703,0.4072842597961426,0.8670580387115479,27,0
baseline,can,action_noise,4,400031,True,True,True,134,43.9537462833072,8.0,0.1712851673364639,0.3880204260349273,0.8594884872436523,27,0
baseline,can,action_noise,5,400032,True,True,True,108,44.159854766628285,8.0,0.176042690873146,0.3925046622753143,0.8600589036941528,27,0
baseline,can,action_noise,6,400033,True,True,True,126,42.0461399788681,8.0,0.2067000120878219,0.3495995700359344,0.8885360956192017,27,0
baseline,can,action_noise,7,400034,True,True,True,121,42.59612763755773,8.0,0.1951586306095123,0.3825341165065765,0.8629797697067261,27,0
baseline,can,action_delay,0,400027,True,True,True,155,64.99948217651226,3.0,0.1671677380800247,0.4354942440986633,0.8861305713653564,27,0
baseline,can,action_delay,1,400028,False,True,False,260,4.944004506233502,5.0,0.0998454466462135,-0.0983074083924293,0.8600487112998962,27,0
baseline,can,action_delay,2,400029,False,True,False,260,57.75165260082592,5.0,0.1495380252599716,0.4371816217899322,0.9126682877540588,27,0
baseline,can,action_delay,3,400030,True,True,True,209,36.642839766113546,3.0,0.1368358135223388,0.4428211450576782,0.8930531740188599,27,0
baseline,can,action_delay,4,400031,True,True,True,168,57.41701474073054,3.0,0.1644851267337799,0.3911225795745849,0.8591753840446472,27,0
baseline,can,action_delay,5,400032,True,True,True,137,53.38402903702486,3.0,0.2023566365242004,0.4345346987247467,0.8659282326698303,27,0
