training_seed,condition,disturbed,success_rate
27,baseline,False,0.96875
27,baseline,True,0.3828125
27,contrastive_recovery,False,0.875
27,contrastive_recovery,True,0.4375
27,more_demos,False,0.96875
27,more_demos,True,0.3984375
27,recovery_bc,False,0.96875
27,recovery_bc,True,0.609375
127,baseline,False,0.96875
127,baseline,True,0.375
127,contrastive_recovery,False,0.59375
127,contrastive_recovery,True,0.3671875
127,more_demos,False,1.0
127,more_demos,True,0.375
127,recovery_bc,False,0.78125
127,recovery_bc,True,0.5703125
227,baseline,False,0.9375
227,baseline,True,0.4375
227,contrastive_recovery,False,0.6875
227,contrastive_recovery,True,0.3828125
227,more_demos,False,0.9375
227,more_demos,True,0.3984375
227,recovery_bc,False,1.0
227,recovery_bc,True,0.6640625
327,baseline,False,0.78125
327,baseline,True,0.3125
327,contrastive_recovery,False,0.4375
327,contrastive_recovery,True,0.2890625
327,more_demos,False,0.9375
327,more_demos,True,0.3515625
327,recovery_bc,False,0.96875
327,recovery_bc,True,0.6328125
427,baseline,False,0.96875
427,baseline,True,0.4609375
427,contrastive_recovery,False,0.9375
427,contrastive_recovery,True,0.4921875
427,more_demos,False,0.90625
427,more_demos,True,0.40625
427,recovery_bc,False,0.96875
427,recovery_bc,True,0.59375
