help_mode,disturbance,episodes,success_rate,intervention_rate,mean_request_step,mean_steps
always_help,action_delay,32,1.0,1.0,0.0,114.21875
learned_help,action_delay,32,1.0,1.0,5.0,118.25
no_help,action_delay,32,0.15625,0.0,,247.9375
oracle_help,action_delay,32,1.0,1.0,6.0,118.21875
always_help,action_noise,32,1.0,1.0,0.0,114.21875
learned_help,action_noise,32,1.0,1.0,9.9375,115.59375
no_help,action_noise,32,0.84375,0.0,,131.96875
oracle_help,action_noise,32,1.0,1.0,10.0,115.1875
always_help,gripper_slip,32,1.0,1.0,0.0,206.59375
learned_help,gripper_slip,32,1.0,1.0,11.5,204.21875
no_help,gripper_slip,32,0.03125,0.0,,255.28125
oracle_help,gripper_slip,32,0.96875,1.0,50.71875,155.71875
always_help,nominal,32,1.0,1.0,0.0,114.21875
learned_help,nominal,32,1.0,0.96875,12.193548387096774,114.5625
no_help,nominal,32,0.96875,0.0,,112.75
oracle_help,nominal,32,1.0,0.125,91.5,113.71875
always_help,object_shift,32,0.90625,1.0,0.0,140.5625
learned_help,object_shift,32,0.9375,1.0,8.53125,137.15625
no_help,object_shift,32,0.53125,0.0,,184.9375
oracle_help,object_shift,32,1.0,1.0,16.0,126.40625
